Name,Type,Year,Position 1,Company/University 1,Position 2 or Past Position,Company/University 2,Industry or Academia?,"Company website, profile page, LinkedIn",,,,,,,,,,,,,,,,,,,,,
Sameer Agarwal,PhD Granted,2014,Co-founder & CTO,Deductive.AI,Staff Engineer,Databricks,industry,https://www.deductive.ai/
Gautam Altekar,PhD Granted,2011,Co-founder,Clairvoyant Intelligence,,,industry,https://www.clairvoyantintel.com/,,,,,,,,,,,,,,,,,,,,,
Ganesh Ananthanarayanan,PhD Granted,2013,Senior Principal Researcher ,Microsoft,,,industry,https://www.microsoft.com/en-us/research/people/ga/bio-sketch/,,,,,,,,,,,,,,,,,,,,,
Michael Armbrust,PhD Granted,2013,Lead developer of Spark SQL,Databricks,,,industry,https://www.databricks.com/,,,,,,,,,,,,,,,,,,,,,
Peter Bailis,PhD Granted,2015,CTO,Workday,,,industry,https://www.workday.com/en-us/company/about-workday/leadership/peter-bailis.html,,,,,,,,,,,,,,,,,,,,,
Arka Bhattacharya,PhD Granted,2016,Research Scientist,Amazon Web Services,PhD UC Berkeley,Smart Building Analytics & IoT,industry,https://www.linkedin.com/in/arka-bhattacharya-
Tamara Broderick,PhD Granted,2014,"Associate Professor, EECS",MIT,,,academia,https://tamarabroderick.com/,,,,,,,,,,,,,,,,,,,,,
Yanpei Chen,PhD Granted,2012," Senior Director, Strategic Insights",Splunk,,,industry,http://www.yanpeichen.com/,,,,,,,,,,,,,,,,,,,,,
Mosharaf Chowdhury,PhD Granted,2015,"Associate Professor, CSE",University of Michigan,,,academia,https://mosharaf.com/,,,,,,,,,,,,,,,,,,,,,
Kristal Curtis,PhD Granted,2015,Software Engineer,Splunk,,,industry,https://www.splunk.com/,,,,,,,,,,,,,,,,,,,,,
Stephen Dawson-Haggerty,PhD Granted,2014,Founder,Normal,Founder and CTO ,Comfy (acq. Siemens),industry,https://www.normal.dev/aboutUs.html,,,,,,,,,,,,,,,,,,,,,
John Duchi,PhD Granted,2014,Associate Professor of Statistics and Electrical Engineering,Stanford,,,academia,https://stanford.edu/~jduchi/,,,,,,,,,,,,,,,,,,,,,
Siamak Faridani,PhD Granted,2012,Senior Machine Learning Engineer,Meta,HCI & Crowdsourcing Research,UC Berkeley,industry,https://www.linkedin.com/in/siamak-faridani
Fletcher Foti,PhD Granted,2014,Founder,Mapcraftlabs,founder,populus-ai,industry,"https://mapcraft.io/
https://www.populus.ai/",,,,,,,,,,,,,,,,,,,,,
Timothy Hunter,PhD Granted,2014,Software Engineer,Databricks,,,industry,https://tjhunter.github.io/,,,,,,,,,,,,,,,,,,,,,
Ariel Kleiner,PhD Granted,2012,CEO and founder,Inductor,,,industry,https://inductor.ai/,,,,,,,,,,,,,,,,,,,,,
Kevin Klues,PhD Granted,2015,Distinguished Engineer,Nvidia,,,industry,https://developer.nvidia.com/blog/author/kklues/,,,,,,,,,,,,,,,,,,,,,
Andy Konwinski,PhD Granted,2012,co-founder,Databricks,co-founder,Perplexity,industry,https://andykonwinski.com/about/,,,,,,,,,,,,,,,,,,,,,
Gunho Lee,PhD Granted,2012,Founder and Chief Engineer,Enuma,,,industry,https://enuma.com/en/,,,,,,,,,,,,,,,,,,,,,
Lester Mackey,PhD Granted,2012,Senior Principal Researcher ,Microsoft,,,industry,https://www.microsoft.com/en-us/research/people/lmackey/,,,,,,,,,,,,,,,,,,,,,
Kurt Miller,PhD Granted,2011,Quantitative Researcher,PDT Partners,Adjunct Professor,NYU Courant,industry,https://www.linkedin.com/in/kurt-miller
Manas Mittal,PhD Granted,2014,Senior Director of Product Management ,Uber,,,industry,https://clay.earth/profile/manas-mittal,,,,,,,,,,,,,,,,,,,,,
Teodor Mihai Moldovan,PhD Granted,2014,Senior Research Engineer,Citadel Securities,,,industry,https://www.efinancialcareers.com/news/citadel-securities-lost-a-tech-lead-in-chicago-but-it-s-been-hiring-in-miami,,,,,,,,,,,,,,,,,,,,,
Jorge Ortiz,PhD Granted,2013,"Assistant Professor, ECE",Rutgers University,,,academia,https://jorgeortizphd.info/,,,,,,,,,,,,,,,,,,,,,
Gene Pang,PhD Granted,2015,Software Engineer,Databricks,,,industry,https://www.linkedin.com/in/genepang,,,,,,,,,,,,,,,,,,,,,
Ariel Rabkin,PhD Granted,2012,Software Engineer,Google,,,industry,https://asrabkin.bitbucket.io/,,,,,,,,,,,,,,,,,,,,,
Charles Reiss,PhD Granted,2016,"Assistant Professor, Engineering",University of Virginia,,,academia,https://engineering.virginia.edu/faculty/charles-reiss,,,,,,,,,,,,,,,,,,,,,
Barret Rhoden,PhD Granted,2014,Systems Software Engineer,Google,Operating Systems Research,UC Berkeley,industry,https://scholar.google.com/citations?user=Xk4Z9RIAAAAJ
Elina Robeva,PhD Granted,2016,"Associate Professor, Mathematics",University of British Columbia,,,academia,https://personal.math.ubc.ca/~erobeva/,,,,,,,,,,,,,,,,,,,,,
Geoffrey Schiebinger,PhD Granted,2016,"Assistant Professor, Mathematics",University of British Columbia,,,academia,https://personal.math.ubc.ca/~geoff/,,,,,,,,,,,,,,,,,,,,,
Jayant Kumar Taneja,PhD Granted,2013,Professor of Operations Research,University of Massachusetts Amherst,Energy Systems Research,UC Berkeley,academia,https://scholar.google.com/citations?user=f1h-rh0AAAAJ
Beth Trushkowsky,PhD Granted,2014,"Associate Professor, Computer Science",Harvey Mudd College,,,academia,https://www.hmc.edu/about/news/experts/beth-trushkowsky/,,,,,,,,,,,,,,,,,,,,,
Rashmi Vinayak,PhD Granted,2016,"Associate Professor, Computer Science",Carnegie Mellon University,,,academia,https://www.cs.cmu.edu/~rvinayak/,,,,,,,,,,,,,,,,,,,,,
Daisy Z. Wang,PhD Granted,2011,"Arnold and Lisa Goldberg Rising Star Associate Professor, Computer Science;
Director, Data Science Research Lab",University of Florida,,,academia,https://www.cise.ufl.edu/wang-daisy-zhe/,,,,,,,,,,,,,,,,,,,,,
Fabian Wauthier,PhD Granted,2013,Principal Applied Scientist,Amazon,,,industry,https://www.amazon.science/author/fabian-wauthier,,,,,,,,,,,,,,,,,,,,,
Andre Wibisono,PhD Granted,2016,"Assistant Professor, Computer Science",Yale,,,academia,https://www.cs.yale.edu/homes/wibisono/,,,,,,,,,,,,,,,,,,,,,
Matei Zaharia,PhD Granted,2014,CTO,Databricks,"Associate Professor, Computer Science",UC Berkeley,academia/industry,https://people.eecs.berkeley.edu/~matei/,,,,,,,,,,,,,,,,,,,,,
David Zats,PhD Granted,2014,CEO,Stealth Mode AI Startup,,,industry,https://www.linkedin.com/in/david-zats-b56bb386,,,,,,,,,,,,,,,,,,,,,
Yuchen Zhang,PhD Granted,2016,Research Scientist,Microsoft Semantic Machines,,,industry,https://zhangyuc.github.io/,,,,,,,,,,,,,,,,,,,,,
Rachit Agarwal,Postdoctoral Scholar,,"Associate Professor, Computer Science",Cornell,,,academia,https://www.cs.cornell.edu/~ragarwal/,,,,,,,,,,,,,,,,,,,,,
Gylfi Gudmundsson,Postdoctoral Scholar,,"Assistant Professor, Computer Science",Reykjavik University,,,academia,https://cress.ru.is/wordpress/?page_id=14,,,,,,,,,,,,,,,,,,,,,
Stefanie Jegelka,Postdoctoral Scholar,,"Associate Professor, EECS",MIT,,,academia,https://people.csail.mit.edu/stefje/,,,,,,,,,,,,,,,,,,,,,
Christos Kozanitis,Postdoctoral Scholar,,"Research Scientist,",ICS-FORTH,,,academia,https://www.linkedin.com/in/christos-kozanitis-a3b173a8,,,,,,,,,,,,,,,,,,,,,
Tim Kraska,Postdoctoral Scholar,,"Associate Professor, EECS",MIT,,,academia,https://people.csail.mit.edu/kraska/,,,,,,,,,,,,,,,,,,,,,
Jason Lee,Postdoctoral Scholar,,"Associate Professor, EECS and Statistics",UC Berkeley,,,academia,https://jasondlee88.github.io/,,,,,,,,,,,,,,,,,,,,,
Justin Ma,Postdoctoral Scholar,,Staff Software Engineer,Google,Computer Systems Security,UC Berkeley AMPLab,industry,https://www.linkedin.com/in/justin-ma-security
Adam Oliner,Postdoctoral Scholar,,CEO and Co-founder ,Graft,,,industry,https://www.graft.com/author/adam-oliner,,,,,,,,,,,,,,,,,,,,,
Samet Oymak,Postdoctoral Scholar,,"Associate Professor, EECS",University of Michigan,,,academia,https://sota.engin.umich.edu/bio-samet-oymak/,,,,,,,,,,,,,,,,,,,,,
John Paisley,Postdoctoral Scholar,,"Associate Professor, EECS",Columbia,,,academia,https://www.ee.columbia.edu/content/john-w-paisley,,,,,,,,,,,,,,,,,,,,,
Dimitris Papiliopoulos,Postdoctoral Scholar,,"Jay & Cynthia Ihlenfeld Associate Professor, EECS",University of Wisconsin-Madison,,,academia,https://papail.io/,,,,,,,,,,,,,,,,,,,,,
Florian Pokorny,Postdoctoral Scholar,,"Associate Professor of Machine Learning within the division of Robotics, Perception and Learning",KTH Royal Institute of Technology,,,academia,https://www.csc.kth.se/~fpokorny/,,,,,,,,,,,,,,,,,,,,,
Purnamrita Sarkar,Postdoctoral Scholar,,"Associate Professor, Statistics and Data Sciences",University of Texas at Austin,,,academia,https://stat.utexas.edu/directory/purnamrita-purna-sarkar,,,,,,,,,,,,,,,,,,,,,
Elaine Shi,Postdoctoral Scholar,,"Professor, CSD and ECE",Carnegie Mellon University.,,,academia,https://elaineshi.com/,,,,,,,,,,,,,,,,,,,,,
Mahdi Soltanolkotabi,Postdoctoral Scholar,,"Andrew and Erna Viterbi Early Career Chair and Professor of Electrical and Computer Engineering, Computer Science, and Industrial and Systems Engineering",University of Southern California,,,academia,https://viterbi.usc.edu/directory/faculty/Soltanolkotabi/Mahdi,,,,,,,,,,,,,,,,,,,,,
Ameet Talwalkar,Postdoctoral Scholar,,"Associate Professor, CS", Carnegie Mellon University,,,academia,https://www.cs.cmu.edu/~atalwalk/,,,,,,,,,,,,,,,,,,,,,
Jiannan Wang,Postdoctoral Scholar,,"Associate Professor, CS",Simon Fraser University,,,academia,https://www.cs.sfu.ca/~jnwang/,,,,,,,,,,,,,,,,,,,,,
Eugene Wu,Postdoctoral Scholar,,"Associate Professor, CS",Columbia University,,,academia,https://www.cs.columbia.edu/~ewu/,,,,,,,,,,,,,,,,,,,,,
Yun Yang,Postdoctoral Scholar,,Adjunct Associate Professor,University of Illinois at Urbana Champaign,,,academia,https://stat.illinois.edu/directory/profile/yy84,,,,,,,,,,,,,,,,,,,,,
Kai Zeng,Postdoctoral Scholar,,Cloud Chief Architect of Data & AI Convergence,Huawei,,,industry,https://kai-zeng.github.io/,,,,,,,,,,,,,,,,,,,,,
Zhao Zhang,Postdoctoral Scholar,,"Assistant Professor, ECE",Rutgers University,,,academia,https://zhaozhang.github.io/,,,,,,,,,,,,,,,,,,,,,
Yuan Zhong,Postdoctoral Scholar,,"Professor, Industrial Engineering and Operations Research",Columbia University,,,academia,https://flexicon.ee.columbia.edu/directory/prof-yuan-zhong,,,,,,,,,,,,,,,,,,,,,
Elaine Angelino,Postdoctoral Scholar,,Assistant Professor,UC Berkeley,Miller Fellow,Harvard SEAS,academia,https://eaangelino.github.io/
Kimon Fountoulakis,Postdoctoral Scholar,,"Associate Professor, Computer Science",University of Waterloo,,,academia,https://uwaterloo.ca/data-science/contacts/kimon-fountoulakis,,,,,,,,,,,,,,,,,,,,,
Roy Fox,Postdoctoral Scholar,,"Assistant Professor, Computer Science",UC Irvine,,,academia,https://royf.org/,,,,,,,,,,,,,,,,,,,,,
Alex Gittens,Postdoctoral Scholar,,"Assistant Professor, Computer Science",Rensselaer,,,academia,https://faculty.rpi.edu/alex-gittens,,,,,,,,,,,,,,,,,,,,,
Qingqing Huang,Postdoctoral Scholar,,,Tik Tok,,,industry,https://www.linkedin.com/in/qingqing-huang-18a329138,,,,,,,,,,,,,,,,,,,,,
Kevin Jamieson,Postdoctoral Scholar,,"Associate Professor, Computer Science",University of Washington,,,academia,https://www.cs.washington.edu/people/faculty/kevin-jamieson/,,,,,,,,,,,,,,,,,,,,,
Xin Jin,Postdoctoral Scholar,,"Associate Professor, Computer Science",Peking University,,,academia,https://xinjin.github.io/bio.html,,,,,,,,,,,,,,,,,,,,,
Eric Jonas,Postdoctoral Scholar,,CEO,Stealth Startup,,,industry,https://www.linkedin.com/in/stochastician,,,,,,,,,,,,,,,,,,,,,
Joe Near,Postdoctoral Scholar,,Associate Professor,University of Vermont,Computer Science,Privacy Research,academia,https://www.uvm.edu/cems/cs/profiles/joe-near
Aaditya Ramdas,Postdoctoral Scholar,,"Associate Professor, Statistics, Data Science, Machine Learning",Carnegie Mellon University,,,academia,https://www.stat.cmu.edu/~aramdas/,,,,,,,,,,,,,,,,,,,,,
Fred Roosta,Postdoctoral Scholar,,"Professor, School of Mathematics and Physics","University of Queensland, Australia",,,academia,https://people.smp.uq.edu.au/FredRoosta/,,,,,,,,,,,,,,,,,,,,,
Julian Shun,Postdoctoral Scholar,,"Associate Professor, EECS",MIT,,,academia,https://jshun.csail.mit.edu/,,,,,,,,,,,,,,,,,,,,,
Alexey Tumanov,Postdoctoral Scholar,,Associate Professor,Georgia Tech,,,academia,https://jshun.csail.mit.edu/,,,,,,,,,,,,,,,,,,,,,
Shusen Wang,Postdoctoral Scholar,,Staff Engineer,Meta,,,industry,https://wangshusen.github.io/,,,,,,,,,,,,,,,,,,,,,
Sara Alspaugh,Graduate Student,,Senior Software Engineer,Tubi,Computer Systems,UC Berkeley,industry,https://www.linkedin.com/in/sara-alspaugh
Nicholas Altieri,Graduate Student,,"Senior Scientist, Machine Learning",A-Alpha Bio,,,industry,https://www.aalphabio.com/about/,,,,,,,,,,,,,,,,,,,,,
Michael Andersen,Graduate Student,,CTO and Co-founder,Antimatter,,,industry,https://www.antimatter.io/team,,,,,,,,,,,,,,,,,,,,,
Francois Belletti,Graduate Student,,Software Engineer,Google,,,industry,https://openreview.net/profile?id=~Francois_Belleti1,,,,,,,,,,,,,,,,,,,,,
Ross Boczar,Graduate Student,,Quantitative Researcher,Radix Trading,,,industry,https://www.rossboczar.com/,,,,,,,,,,,,,,,,,,,,,
Tobias Boelter,Graduate Student,,Head of Security,Harvey,,,industry,https://www.harvey.ai/blog/author/tobias-boelter,,,,,,,,,,,,,,,,,,,,,
Nicholas Boyd,Graduate Student,,"Scientist, previously at Atomic AI",,ex-CTO ,XGenomes,industry,https://nboyd.github.io/,,,,,,,,,,,,,,,,,,,,,
Joao Carreira,Graduate Student,,Senior Staff Research Scientist,Google,,,industry,https://uk.linkedin.com/in/jo%C3%A3o-carreira-56238a7,,,,,,,,,,,,,,,,,,,,,
Kaifei Chen,Graduate Student,,Software Engineer,Waymo,,,industry,https://kaifeichen.github.io/,,,,,,,,,,,,,,,,,,,,,
Dan Crankshaw,Graduate Student,,Co-founder & CTO,OctoML,Systems Software Engineer,Google,industry,https://www.linkedin.com/in/daniel-crankshaw-800a8642
Palmer Dabbelt,Graduate Student,,Staff Software Engineer,Google,RISC-V Architect,UC Berkeley,industry,https://dabbelt.com/~palmer/
Ankur Dave,Graduate Student,,Software Engineer,Databricks,,,industry,https://ankurdave.com/,,,,,,,,,,,,,,,,,,,,,
Sarah Dean,Graduate Student,,"Assistant Professor, Computer Science",Cornell,,,academia,https://sdean.website/,,,,,,,,,,,,,,,,,,,,,
Orianna DeMasi,Graduate Student,,Principal Scientist,UCSF Health,Machine Learning for Healthcare,UC Berkeley,academia,https://odemasi.github.io/cv/
Aditya Devarakonda,Graduate Student,,"Assistant Professor, Computer Science",Wake Forest University,,,academia,https://aditya08.github.io/about/,,,,,,,,,,,,,,,,,,,,,
Ahmed El Alaoui,Graduate Student,,"Assistant Professor, Statistics and Data Science",Cornell,,,academia,https://elalaoui.stat.cornell.edu/,,,,,,,,,,,,,,,,,,,,,
Gabe Fierro,Graduate Student,,"Assistant Professor, Computer Science",Colorado School of Mines,,,academia,https://gtf.fyi/,,,,,,,,,,,,,,,,,,,,,
Peter Gao,Graduate Student,,Co-founder and CEO ,Aquarium Learning (acquired by Notion),,,industry,https://www.linkedin.com/in/pgaooo,,,,,,,,,,,,,,,,,,,,,
Ryan Giordano,Graduate Student,,"Assistant Professor, Statistics",UC Berkeley,,,academia,https://statistics.berkeley.edu/people/ryan-giordano-0,,,,,,,,,,,,,,,,,,,,,
Daniel Haas,Graduate Student,,Director of Engineering,B12,,,industry,https://thisisdhaas.com/,,,,,,,,,,,,,,,,,,,,,
Benjamin Hindman,Graduate Student,,Co-founder of reboot.dev,,"previous CTO and co-founder of D2iQ, Creator of Apache Mesos",,industry,https://www.linkedin.com/in/benjamin-hindman-880b219,,,,,,,,,,,,,,,,,,,,,
Anand Padmanabha Iyer,Graduate Student,,"Assistant Professor, Computer Science",Georgia Tech,,,academia,https://www.anand-iyer.com/,,,,,,,,,,,,,,,,,,,,,
Biye Jiang,Graduate Student,,Staff Algorithm Engineer,Alibaba Group,,,industry,https://byeah.github.io/,,,,,,,,,,,,,,,,,,,,,
Chi Jin,Graduate Student,,"Assistant Professor, ECS",Princeton,,,academia,https://sites.google.com/view/cjin/home,,,,,,,,,,,,,,,,,,,,,
Shankari Kalyanaraman,Graduate Student,,Research Scientist,Facebook Core Data Science,,,industry,https://scholar.google.com/citations?user=JrIFpQ4AAAAJ&hl=en,,,,,,,,,,,,,,,,,,,,,
Alex Kantchelian,Graduate Student,,Security Researcher,Google,Cybersecurity & ML Security,UC Berkeley,industry,https://scholar.google.com/citations?user=jZCCpsIAAAAJ&hl=en
Sagar Karandikar,Graduate Student,,"Assistant Professor, EECS",UC Berkeley,,,academia,https://sagark.org/,,,,,,,,,,,,,,,,,,,,,
Anurag Khandelwal,Graduate Student,,"Assistant Professor, CS",Yale,,,academia,https://www.anuragkhandelwal.com/,,,,,,,,,,,,,,,,,,,,,
Jack Kolb,Graduate Student,,"Assistant Professor, CSE",University of Minnesota,,,academia,https://jhkolb.github.io/,,,,,,,,,,,,,,,,,,,,,
Sanjay Krishnan,Graduate Student,,"Assistant Professor, Computer Science",University of Chicago,,,academia,https://computerscience.uchicago.edu/people/sanjay-krishnan/,,,,,,,,,,,,,,,,,,,,,
Nick Lanham,Graduate Student,,,Databricks,,,industry,https://www.databricks.com/dataaisummit/speaker/nick-lanham,,,,,,,,,,,,,,,,,,,,,
Haoyuan Li,Graduate Student,,"Founder, Chairman, CEO",Alluxio,,,industry,https://haoyuanli.com/,,,,,,,,,,,,,,,,,,,,,
Chang Liu,Graduate Student,,???,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Love,Graduate Student,,,SiFive,,,industry,https://www.linkedin.com/in/eric-j-love,,,,,,,,,,,,,,,,,,,,,
Horia Mania,Graduate Student,,Quantitative Researcher,Citadel Securities,,,industry,https://hmania.github.io/,,,,,,,,,,,,,,,,,,,,,
Henry Milner,Graduate Student,,Senior Software Engineer,Conviva,,,industry,https://www.linkedin.com/in/henry-milner-ab825946,,,,,,,,,,,,,,,,,,,,,
Philipp Moritz,Graduate Student,,Co-founder and CTO,Anyscale,,,industry,https://www.anyscale.com/about,,,,,,,,,,,,,,,,,,,,,
Alyssa Morrow,Graduate Student,,ML Scientist,"Immunai, Gionkgo Bioworks, Inc.",,,industry,https://www.linkedin.com/in/alyssa-morrow-27b58b85,,,,,,,,,,,,,,,,,,,,,
Robert Nishihara,Graduate Student,,Co-founder & CTO,Anyscale,Ray framework creator,UC Berkeley,industry,https://www.linkedin.com/in/robert-nishihara-b6465444
Frank Nothaft,Graduate Student,,Founder,Translating Science PBC,,,industry,http://fnothaft.net/,,,,,,,,,,,,,,,,,,,,,
Kay Ousterhout,Graduate Student,,Software Engineer,LightStep,,,industry,http://kayousterhout.org/,,,,,,,,,,,,,,,,,,,,,
Xinghao Pan,Graduate Student,,,"DSO National Laboratories, Singapore",,,industry,https://sg.linkedin.com/in/xinghao,,,,,,,,,,,,,,,,,,,,,
Auorjit Panda,Graduate Student,,"Assistant Professor, Computer Science",NYU,Network Systems Research,UC Berkeley,academia,https://cs.nyu.edu/~apanda/
Nathan Pemberton,Graduate Student,,Applied Scientist,Amazon Web Services,,,industry,https://www.linkedin.com/in/nathan-pemberton-3566816,,,,,,,,,,,,,,,,,,,,,
Devin Petersohn,Graduate Student,,Senior Software Engineer and Python Architect,Snowflake,,,industry,https://careers.snowflake.com/us/en/blogarticle/engineering-excellence-from-phd-to-python-architect,,,,,,,,,,,,,,,,,,,,,
Rishabh Poddar,Graduate Student,,Co-Founder & CTO,Opaque Systems,,,industry,https://rishabhpoddar.com/,,,,,,,,,,,,,,,,,,,,,
Qifan Pu,Graduate Student,,Senior Software Engineer,Google,,,industry,https://www.linkedin.com/in/q%C7%90f%C3%A1n-p%C3%BA-b1273b4a,,,,,,,,,,,,,,,,,,,,,
Maxim Rabinovich,Graduate Student,,,Qualified Health,,,industry,https://www.linkedin.com/in/maxim-rabinovich,,,,,,,,,,,,,,,,,,,,,
Becca Roelofs,Graduate Student,,Research Scientist,Google,,,industry,https://www.linkedin.com/in/rebecca-roelofs-19731922,,,,,,,,,,,,,,,,,,,,,
Esther Rolf,Graduate Student,,"Assistant Professor, Computer Science","University of Colorado, Boulder",,,academia,https://www.estherrolf.com/,,,,,,,,,,,,,,,,,,,,,
Johann Schleier-Smith,Graduate Student,,Founder,CrystalDB,,,industry,https://johann.schleier-smith.com/,,,,,,,,,,,,,,,,,,,,,
Vaishaal Shankar,Graduate Student,,Member of technical staff, Anthropic,"previously Research Scientist, Machine Learning Research group",Apple,industry,http://vaishaal.com/,,,,,,,,,,,,,,,,,,,,,
Max Simchowitz,Graduate Student,,"Assistant Professor, Machine Learning",Carnegie Mellon University,,,academia,https://msimchowitz.github.io/,,,,,,,,,,,,,,,,,,,,,
Virginia Smith,Graduate Student,,Leonardo Associate Professor of Machine Learning,Carnegie Mellon University,,,academia,https://www.cs.cmu.edu/~smithv/,,,,,,,,,,,,,,,,,,,,,
Evan Sparks,Graduate Student,,Chief Product Officer AI,Hewlett Packard Enterprise,Co-Founder and CEO,Determined Ai ,industry,www.linkedin.com/in/ersparks,,,,,,,,,,,,,,,,,,,,,
Vikram Sreekanti,Graduate Student,,Co-founder and CEO,RunLLM,,,industry,https://www.runllm.com/about,,,,,,,,,,,,,,,,,,,,,
Liwen Sun,Graduate Student,,,Character.ai,,,industry,https://www.linkedin.com/in/liwen-sun,,,,,,,,,,,,,,,,,,,,,
Jonathan Terhorst,Graduate Student,,"Associate Professor, Statistics",University of Michigan,,,academia,https://lsa.umich.edu/stats/people/faculty/JonathanTerhorst.html,,,,,,,,,,,,,,,,,,,,,
Nilesh Tripuraneni,Graduate Student,,Researcher,Google DeepMind,,,industry,https://nileshtrip.github.io/,,,,,,,,,,,,,,,,,,,,,
Stephen Tu,Graduate Student,,"Assistant Professor, ECE",University of Southern California,,,academia,https://stephentu.github.io/,,,,,,,,,,,,,,,,,,,,,
Shivaram Venkataraman,Graduate Student,,"Assistant Professor, Computer Science",University of Wisconsin-Madison,Apache Spark Core Contributor,UC Berkeley,academia,https://shivaram.org/
Guanhua Wang,Graduate Student,,Senior Researcher,DeepSpeed Microsoft,,,industry,https://guanhuawang.github.io/,,,,,,,,,,,,,,,,,,,,,
Stephanie Wang,Graduate Student,,"Assistant Professor, Computer Science",University of Washington,,,academia,https://stephanie-wang.github.io/,,,,,,,,,,,,,,,,,,,,,
Xin Wang,Graduate Student,,Senior Researcher, Microsoft Research,,,industry,https://xinw.ai/,,,,,,,,,,,,,,,,,,,,,
Michael Whittaker,Graduate Student,,Software Engineer,Google,,,industry,https://mwhittaker.github.io/,,,,,,,,,,,,,,,,,,,,,
Ahshia Wilson,Graduate Student,,"Assistant Professor, EECS",MIT,,,academia,https://engineering.mit.edu/faculty/ashia-wilson/,,,,,,,,,,,,,,,,,,,,,
Chenggang Wu,Graduate Student,,Co-founder and CTO,RunLLM,,,industry,https://cgwu.io/,,,,,,,,,,,,,,,,,,,,,
Yifan Wu,Graduate Student,,,Anthropic,,Open AI,industry,https://yifanwu.net/,,,,,,,,,,,,,,,,,,,,,
Reynold Xin,Graduate Student,,Co-Founder and Chief Architect,Databricks,Apache Spark Creator,UC Berkeley,Industry,https://rxin.github.io/
Larry Xu,Graduate Student,,Software Engineer,Open AI,,,industry,https://www.linkedin.com/in/larryxu,,,,,,,,,,,,,,,,,,,,,
Neeraja Yadwadkar,Graduate Student,,"Assistant Professor, ECE",University of Texas at Austin,,,academia,https://sites.utexas.edu/neeraja/,,,,,,,,,,,,,,,,,,,,,
Shijing Yao,Graduate Student,,???,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenting Zheng,Graduate Student,,"Assistant Professor, Computer Science",Carnegie Mellon University,,,academia,https://wzheng.github.io/,,,,,,,,,,,,,,,,,,,,,
David Zhu,Graduate Student,,???,,,,industry,https://scholar.google.com/citations?user=_E2vC4UAAAAJ&hl=en,,,,,,,,,,,,,,,,,,,,,